h1,60,60,70,70
model,NN_avg,NN,NN_avg,NN
epochs,,,,
10,1.15125138355,1.13742869214,1.17606958662,1.16236122276
20,0.956680765178,0.948779451066,0.981836531474,0.972948838529
30,0.874631968859,0.869039256561,0.899395506553,0.893008235544
40,0.823609034595,0.818477570867,0.849222505023,0.843414823392
50,0.785314520907,0.780696210265,0.812423468246,0.80698953844
60,0.754926933659,0.750163418641,0.784059047312,0.778392953435
70,0.729925384414,0.725409300034,0.760651128845,0.755733601048
80,0.708980769231,0.704948142514,0.742577166138,0.737467267349
90,0.691393027132,0.687739557213,0.727813461725,0.723106595516
100,0.676965180866,0.673474656332,0.716527534918,0.712314350988
110,0.664439964801,0.661296437489,0.707522335962,0.70416523676
120,0.654273328829,0.651893179002,0.70069670838,0.69822182164
130,0.645805153287,0.643362946881,0.696450315611,0.693953330759
140,0.638625349909,0.636688756434,0.694375966331,0.691701972011
150,0.632612377845,0.631502623118,0.692269803588,0.691507686594
160,0.62857058179,0.627673673604,0.69287634548,0.69123428546
170,0.624782244346,0.624026935235,0.693904292319,0.69430725768
180,0.622290145776,0.62128258914,0.697078528183,0.697382849051
190,0.619523060312,0.61949812712,0.700559364314,0.701142101575
200,0.617945857838,0.617786206251,0.70376424298,0.705095075489
210,0.617168797724,0.616497228774,0.710759377446,0.710958173453
220,0.616189953787,0.616738909865,0.715237521337,0.71566343612
230,0.615458297813,0.616874514802,0.722075208696,0.723082062706
240,0.616079313186,0.617521810982,0.728098064943,0.729594889845
250,0.615978964966,0.618017290255,0.733259902332,0.735913768717
260,0.616469352201,0.618262797293,0.740462538523,0.745944805433
270,0.617528584926,0.619330583345,0.747690032088,0.751802099125
280,0.617864098678,0.620401988947,0.755581319387,0.759754301741
290,0.61835786912,0.622429661515,0.764154538068,0.768389870118
300,0.620025486208,0.623560163871,0.771964608189,0.777356599238
310,0.620384431642,0.62492654401,0.778095016586,0.782786586711
320,0.62278401122,0.626722323669,0.788431131017,0.791389803642
330,0.623207120807,0.627989626,0.793541568132,0.800043937027
340,0.624790344734,0.629652982995,0.80366517203,0.812006863415
350,0.625675267693,0.631653756856,0.811748048184,0.81789720745
360,0.627209673227,0.633010197061,0.819559627148,0.826530344173
370,0.629770186868,0.634765825863,0.828037080721,0.833283024551
380,0.629610643571,0.635759629006,0.835895932262,0.843129815772
390,0.63131137648,0.637916709245,0.842640825391,0.850378311978
400,0.633346303656,0.639266714531,0.852337985072,0.858861040579
410,0.634249241784,0.640068805791,0.861522756856,0.867097589134
420,0.635002275,0.642122263483,0.866602522169,0.873576272546
