,avg,each,fold,nModels,ntree,tc
0,0.6606518577704252,0.6606518517905487,0,1,500,4
1,0.6585472292385246,0.6585472216575137,0,1,550,4
2,0.6575499484254498,0.6575499405417214,0,1,600,4
3,0.6572582289906848,0.657258220768388,0,1,650,4
4,0.6575021101791408,0.6575021022928739,0,1,700,4
5,0.6575486481463658,0.6575486397358682,0,1,750,4
6,0.6578533643819586,0.6578533553817484,0,1,800,4
7,0.6582456378914703,0.6582456296179221,0,1,850,4
8,0.6592063548983607,0.6592063466702528,0,1,900,4
9,0.6605490620722063,0.6605490531290366,0,1,950,4
10,0.6521665200368937,0.6634380844699749,0,2,500,4
11,0.6498732130532735,0.6610270142065297,0,2,550,4
12,0.6488735974537707,0.6601825382255792,0,2,600,4
13,0.6483295913636021,0.6594468224985706,0,2,650,4
14,0.6480139468574958,0.6588175409496354,0,2,700,4
15,0.6478881781866106,0.6586822515738847,0,2,750,4
16,0.6482800765228601,0.6597211865488336,0,2,800,4
17,0.6485674318700828,0.6604845505562684,0,2,850,4
18,0.6494444353000122,0.6611825267872483,0,2,900,4
19,0.6503983535107665,0.661885979927588,0,2,950,4
20,0.6498631202051768,0.6647429834593512,0,3,500,4
21,0.6476229846626673,0.6629119731373477,0,3,550,4
22,0.6464926695780996,0.6616178779375774,0,3,600,4
23,0.6457504677635996,0.6609374157538641,0,3,650,4
24,0.6454570630725808,0.6610369142798395,0,3,700,4
25,0.6454538364964543,0.6613035900503245,0,3,750,4
26,0.6455648852771179,0.661487055002627,0,3,800,4
27,0.6459003401730592,0.662498535109307,0,3,850,4
28,0.6468625237715894,0.6636001146541849,0,3,900,4
29,0.6478109493252846,0.6646229402600892,0,3,950,4
30,0.6480129971873138,0.6611339598852377,0,4,500,4
31,0.645578871384529,0.6584727161660773,0,4,550,4
32,0.6444736204743793,0.6577487934953639,0,4,600,4
33,0.6436984753761832,0.6569991811192961,0,4,650,4
34,0.6435326557247912,0.6573321249895915,0,4,700,4
35,0.6435614930019988,0.6574096539743408,0,4,750,4
36,0.64375385063364,0.6584357173666079,0,4,800,4
37,0.6440787654646809,0.6588941424784613,0,4,850,4
38,0.6449946559750016,0.659948593579513,0,4,900,4
39,0.6459217902963562,0.6610339516620274,0,4,950,4
40,0.6473482511458925,0.6630786775152862,0,5,500,4
41,0.6449874558912743,0.6611438791865626,0,5,550,4
42,0.6438114554341362,0.6599421419243479,0,5,600,4
43,0.6430333976769655,0.6597084549692458,0,5,650,4
44,0.6428965960904928,0.6598124467233312,0,5,700,4
45,0.642834962405787,0.6596507063169711,0,5,750,4
46,0.6430545800242855,0.6602102530272264,0,5,800,4
47,0.6434644538703702,0.6613849688800576,0,5,850,4
48,0.6444175170985867,0.6625030513136755,0,5,900,4
49,0.6453551975685976,0.6635647275615527,0,5,950,4
50,0.647174824616239,0.6648136299390509,0,6,500,4
51,0.644901157799647,0.6632497301641285,0,6,550,4
52,0.6436473132016594,0.6618226038605886,0,6,600,4
53,0.6427795079399785,0.6610016522900941,0,6,650,4
54,0.6425666367853946,0.6608409387953189,0,6,700,4
55,0.6424408775255799,0.6607374138583899,0,6,750,4
56,0.6426456522113059,0.6613590130730422,0,6,800,4
57,0.6430123167903673,0.6622103145885558,0,6,850,4
58,0.6439680579787096,0.6633472238441451,0,6,900,4
59,0.6449717108606337,0.6649331219686304,0,6,950,4
60,0.6470679725479457,0.6662225191167146,0,7,500,4
61,0.6447372673351083,0.6636962224329515,0,7,550,4
62,0.6434386937227108,0.6626054599711502,0,7,600,4
63,0.6425876740133314,0.6618567373101694,0,7,650,4
64,0.6423863236999259,0.6620560847227668,0,7,700,4
65,0.6422321393505042,0.6621606721598707,0,7,750,4
66,0.6424457887145293,0.6628032745037649,0,7,800,4
67,0.6427508672878764,0.6632342120110989,0,7,850,4
68,0.6436724280184063,0.6640895331288519,0,7,900,4
69,0.6446949628824529,0.6653218626268996,0,7,950,4
70,0.6466157984832943,0.6612874565305527,0,8,500,4
71,0.6442324494277923,0.6589431137643884,0,8,550,4
72,0.6428700825647146,0.657557272753217,0,8,600,4
73,0.6419833070586232,0.6568557587374403,0,8,650,4
74,0.6417546564040982,0.6564043382705581,0,8,700,4
75,0.6416046300543312,0.6566270134027532,0,8,750,4
76,0.641706586393322,0.65626246199641,0,8,800,4
77,0.6419705838735372,0.6565313157940483,0,8,850,4
78,0.6428428434439121,0.6573775873528692,0,8,900,4
79,0.6438831838780621,0.6587990450624972,0,8,950,4
80,0.6462432186661274,0.662236169925644,0,9,500,4
