,avg,each,epochs,fold,h1,h2,nModels
0,1.1822125086563893,1.1822125011912106,10,0,60,100,1
1,0.9807519519793138,0.9807519449541963,20,0,60,100,1
2,0.8954026219999098,0.8954026155657215,30,0,60,100,1
3,0.8417892471983284,0.8417892409411797,40,0,60,100,1
4,0.8047668103809389,0.8047668044022699,50,0,60,100,1
5,0.77268853110072,0.772688525939717,60,0,60,100,1
6,0.7526978896750762,0.7526978832295659,70,0,60,100,1
7,0.7307877826585465,0.7307877762210081,80,0,60,100,1
8,0.7134654039829632,0.7134653966993857,90,0,60,100,1
9,0.7040571830032519,0.7040571757042482,100,0,60,100,1
10,0.6935683910388115,0.6935683832266392,110,0,60,100,1
11,0.6873669395907843,0.6873669326800343,120,0,60,100,1
12,0.6833442598198118,0.6833442523285091,130,0,60,100,1
13,0.6861193707222021,0.6861193617032195,140,0,60,100,1
14,0.6856962744855297,0.6856962668651938,150,0,60,100,1
15,0.6791917077903686,0.6791916984253086,160,0,60,100,1
16,0.6845056271233378,0.6845056182624485,170,0,60,100,1
17,0.6782690286127658,0.6782690191902018,180,0,60,100,1
18,0.6909763072825093,0.6909762979331774,190,0,60,100,1
19,0.6959498887957417,0.695949877955031,200,0,60,100,1
20,0.6972490600623403,0.6972490504011538,210,0,60,100,1
21,0.6996487057341533,0.6996486947532591,220,0,60,100,1
22,0.7007250963133258,0.7007250840260207,230,0,60,100,1
23,0.7121551569786321,0.7121551445725458,240,0,60,100,1
24,0.713811588954674,0.7138115765471909,250,0,60,100,1
25,0.7335778132495655,0.7335778010806631,260,0,60,100,1
26,0.7362060656500004,0.73620605266648,270,0,60,100,1
27,0.737830710826683,0.7378306982343905,280,0,60,100,1
28,0.7566286977190964,0.7566286853139474,290,0,60,100,1
29,0.7571197282005073,0.757119713925323,300,0,60,100,1
30,0.7572289080660313,0.757228893563547,310,0,60,100,1
31,0.7849520067410443,0.7849519915197609,320,0,60,100,1
32,0.773429452752429,0.7734294372176199,330,0,60,100,1
33,0.7873242366664339,0.787324219720209,340,0,60,100,1
34,0.7907468407066457,0.7907468253628284,350,0,60,100,1
35,0.8109584553793137,0.8109584399468787,360,0,60,100,1
36,0.8058955747845221,0.8058955578614331,370,0,60,100,1
37,0.8410782618239508,0.8410782448943105,380,0,60,100,1
38,0.8406137635213684,0.8406137459427553,390,0,60,100,1
39,0.8342931651440667,0.8342931489254775,400,0,60,100,1
40,0.8916419528933234,0.891641934424028,410,0,60,100,1
41,0.8518978697144535,0.8518978519809862,420,0,60,100,1
42,1.1600207765649606,1.1600207702908067,10,0,70,90,1
43,0.968491801748636,0.968491794191967,20,0,70,90,1
44,0.8866958811116091,0.8866958725083506,30,0,70,90,1
45,0.8406498586951903,0.840649852799765,40,0,70,90,1
